Manual,Quantifly,Versatile_fluo,flyModel2
6,10,6,7
35,55,32,32
58,66,51,56
51,65,37,46
40,62,31,36
40,60,34,43
2,3,1,2
58,93,58,59
62,85,60,63
33,31,18,31
37,40,28,38
0,17,1,0
0,1,0,0
20,33,21,19
47,67,47,49
1,6,1,1
25,30,22,26
1,12,0,1
0,2,0,0
9,15,9,9
39,51,36,37
48,63,41,48
16,11,3,14
3,11,1,2
42,48,35,40
2,3,1,1
48,63,47,48
69,73,41,66
11,54,6,11
7,12,1,7
33,38,32,34
1,4,1,1
49,60,33,47
59,67,32,60
15,75,2,11
10,18,3,10
11,16,9,11
74,96,78,75
38,51,37,39
4,21,1,4
0,2,0,0
53,73,49,54
81,96,67,77
13,17,1,10
22,32,0,16
13,18,2,10
22,31,3,17
19,27,17,18
0,3,0,0
13,20,12,13
95,79,8,73
2,9,1,2
10,12,1,10
10,11,1,10
17,26,15,17
52,68,49,52
20,19,14,20
17,23,10,17
25,32,23,25
35,45,21,32
68,91,61,66
0,5,0,0
32,20,1,30
41,64,39,44
20,36,19,20
71,94,62,70
41,46,7,37
12,22,8,11
17,19,0,15
17,19,0,14
14,20,14,12
0,13,1,1
57,66,35,54
20,14,18,20
27,22,4,28
77,91,73,76
22,30,13,21
50,63,48,50
10,14,8,10
22,22,6,20
72,79,63,69
34,42,25,35
14,18,13,14
39,51,39,39
60,73,42,57
66,64,48,59
0,12,0,0
26,36,26,26
26,47,25,26
50,66,50,50
43,59,31,42
18,27,10,19
18,19,9,17
49,68,49,49
46,66,33,49
21,27,16,22
60,74,25,57
9,27,7,10
19,29,11,20
60,53,47,57
33,54,34,33
79,101,76,78
80,85,62,82
42,47,40,42
27,25,8,27
27,24,9,26
0,2,0,0
57,88,56,56
47,57,46,43
29,44,22,28
29,44,24,31
0,11,0,0
80,118,74,80
59,105,59,60
76,94,68,77
78,81,45,78
22,39,4,19
0,22,0,0
22,37,13,21
0,5,0,0
54,77,53,53
70,63,42,64
31,65,4,9
2,113,2,1
1,18,1,4
31,77,30,32
72,65,56,73
15,26,13,14
0,4,0,0
51,56,38,48
70,81,50,64
10,71,2,10
0,15,2,0